Order Date,Order ID,Customer ID,Customer Segment,Product,Category,Region,State,Sales,Quantity,Discount,Cost,Profit,Payment Method,Shipping Mode
2025-02-02,ORD-00001,CUST-10339,Corporate,Ink Cartridge,Office Supplies,North,Delhi,1329.31,5,0.05,952.64,376.67,Bank Transfer,Standard
2025-05-17,ORD-00002,CUST-10069,Consumer,Ink Cartridge,Office Supplies,East,Jharkhand,1372.53,6,0.0,845.01,527.52,Bank Transfer,Standard
2025-05-08,ORD-00003,CUST-10225,Corporate,Keyboard,Accessories,South,Kerala,1298.15,5,0.1,974.59,323.56,Cash,Standard
2025-05-06,ORD-00004,CUST-10282,Small Business,Desk Organizer,Office Supplies,North,Delhi,1356.74,5,0.05,850.58,506.16,Bank Transfer,Standard
2025-11-17,ORD-00005,CUST-10309,Small Business,Tablet Air,Electronics,West,Gujarat,4790.7,4,0.2,2866.22,1924.48,Credit Card,Standard
2025-01-03,ORD-00006,CUST-10124,Small Business,Smartphone X,Electronics,South,Telangana,2837.61,2,0.0,2070.32,767.29,Debit Card,Standard
2025-07-16,ORD-00007,CUST-10244,Consumer,Notebook Pack,Office Supplies,North,Uttar Pradesh,547.05,2,0.0,424.85,122.21,Debit Card,Standard
2025-12-25,ORD-00008,CUST-10170,Corporate,Conference Table,Furniture,South,Tamil Nadu,5454.32,6,0.05,4561.14,893.18,Debit Card,Standard
2025-11-16,ORD-00009,CUST-10038,Small Business,Monitor 27,Electronics,West,Rajasthan,1148.85,1,0.0,936.14,212.71,Bank Transfer,Standard
2025-08-10,ORD-00010,CUST-10078,Corporate,Conference Table,Furniture,East,West Bengal,898.92,1,0.05,752.55,146.37,Bank Transfer,Same Day
2025-12-31,ORD-00011,CUST-10262,Corporate,Printer Paper,Office Supplies,East,Jharkhand,804.39,3,0.1,649.96,154.43,UPI,Standard
2025-05-27,ORD-00012,CUST-10241,Corporate,Keyboard,Accessories,South,Kerala,2860.29,6,0.05,2262.41,597.88,Debit Card,Standard
2025-08-12,ORD-00013,CUST-10183,Corporate,Ink Cartridge,Office Supplies,North,Punjab,1330.77,5,0.1,775.89,554.88,UPI,Standard
2025-07-18,ORD-00014,CUST-10274,Consumer,Bookshelf,Furniture,South,Telangana,5066.49,5,0.15,3890.21,1176.28,Debit Card,Express
2025-01-18,ORD-00015,CUST-10242,Consumer,Tablet Air,Electronics,East,West Bengal,4108.63,4,0.1,2531.51,1577.12,Debit Card,Standard
2025-01-15,ORD-00016,CUST-10119,Small Business,Standing Desk,Furniture,West,Goa,506.99,1,0.1,302.98,204.01,Credit Card,Standard
2025-11-24,ORD-00017,CUST-10103,Small Business,Smartphone X,Electronics,North,Haryana,2750.15,3,0.05,1724.13,1026.01,Cash,Express
2025-03-05,ORD-00018,CUST-10331,Small Business,Notebook Pack,Office Supplies,West,Rajasthan,294.14,1,0.0,243.25,50.89,Credit Card,Express
2025-05-10,ORD-00019,CUST-10341,Consumer,Ink Cartridge,Office Supplies,South,Karnataka,1727.6,6,0.05,1387.53,340.07,UPI,Standard
2025-08-16,ORD-00020,CUST-10011,Consumer,Smartphone X,Electronics,North,Punjab,6027.33,6,0.2,5211.42,815.91,Credit Card,Standard
2025-07-30,ORD-00021,CUST-10277,Consumer,Tablet Air,Electronics,North,Haryana,2528.8,2,0.1,2209.39,319.41,Bank Transfer,Same Day
